Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63573951,12/31/2024 11:57:29 PM,01/01/2025 12:48:41 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11216,BEDFORD AVENUE,BEDFORD AVENUE,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:48:44 AM,08 BROOKLYN,,BROOKLYN,997376,185939,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67702662934846,-73.95267801549666,"(40.67702662934846, -73.95267801549666)"
63573436,12/31/2024 11:57:20 PM,01/01/2025 12:15:45 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103,30-38 48 STREET,48 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,ASTORIA,48 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 12:15:49 AM,01 QUEENS,4007290061,QUEENS,1009296,216060,MOBILE,Unspecified,QUEENS,,,,,,,,40.7596757857884,-73.90959186018591,"(40.7596757857884, -73.90959186018591)"
63584738,12/31/2024 11:57:19 PM,03/02/2025 12:12:17 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10032,3861 BROADWAY,BROADWAY,WEST  161 STREET,WEST  162 STREET,WEST  161 STREET,WEST  162 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,The NYC Health Department has responded to your service request.  Restaurant inspection information can be found online at www.nyc.gov/health/abceats. This service request has been closed.,03/02/2025 12:12:20 AM,12 MANHATTAN,1021370018,MANHATTAN,1000024,244098,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.83665384418777,-73.94299497332467,"(40.83665384418777, -73.94299497332467)"
63579916,12/31/2024 11:57:13 PM,01/01/2025 09:02:20 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:02:38 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63581159,12/31/2024 11:57:08 PM,01/03/2025 11:22:37 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10025,107 WEST  109 STREET,WEST  109 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,01/03/2025 12:00:00 AM,07 MANHATTAN,1018640023,MANHATTAN,994770,231255,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80141124989614,-73.96200232327737,"(40.80141124989614, -73.96200232327737)"
63580250,12/31/2024 11:57:07 PM,01/01/2025 01:00:32 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10312,232 WOEHRLE AVENUE,WOEHRLE AVENUE,NOTUS AVENUE,GRANTWOOD AVENUE,NOTUS AVENUE,GRANTWOOD AVENUE,ADDRESS,STATEN ISLAND,WOEHRLE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 01:00:36 AM,03 STATEN ISLAND,5056680164,STATEN ISLAND,934252,140082,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.5510274588818,-74.17991349162548,"(40.5510274588818, -74.17991349162548)"
63575837,12/31/2024 11:57:06 PM,01/01/2025 12:44:02 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10312,SEIDMAN AVENUE,SEIDMAN AVENUE,KOCH BOULEVARD,SEIDMAN AVENUE,KOCH BOULEVARD,SEIDMAN AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:44:05 AM,03 STATEN ISLAND,,STATEN ISLAND,938518,134320,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.53523490754401,-74.16452375393705,"(40.53523490754401, -74.16452375393705)"
63579930,12/31/2024 11:57:01 PM,01/02/2025 05:05:52 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:07:30 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63573947,12/31/2024 11:56:59 PM,01/01/2025 01:04:09 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11232,3905 5 AVENUE,5 AVENUE,39 STREET,40 STREET,39 STREET,40 STREET,ADDRESS,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 01:04:12 AM,07 BROOKLYN,3009130008,BROOKLYN,983139,176512,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.651161265126326,-74.00400383510761,"(40.651161265126326, -74.00400383510761)"
63577360,12/31/2024 11:56:55 PM,01/01/2025 12:16:06 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10040,ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  189 STREET,ST NICHOLAS AVENUE,WEST  189 STREET,INTERSECTION,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,01/01/2025 12:16:10 AM,12 MANHATTAN,,MANHATTAN,1003592,250533,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85430892959979,-73.93008216434878,"(40.85430892959979, -73.93008216434878)"
63580712,12/31/2024 11:56:49 PM,01/01/2025 12:56:20 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11364,48-21 203 STREET,203 STREET,48 AVENUE,50 AVENUE,48 AVENUE,50 AVENUE,ADDRESS,OAKLAND GARDENS,203 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2025 12:56:24 AM,11 QUEENS,,QUEENS,1046047,213471,ONLINE,Unspecified,QUEENS,,,,,,,,40.75238917286127,-73.77695657046795,"(40.75238917286127, -73.77695657046795)"
63580877,12/31/2024 11:56:37 PM,01/01/2025 12:47:58 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10030,211 EDGECOMB AVENUE,EDGECOMB AVENUE,WEST  142 STREET,WEST  145 STREET,WEST  142 STREET,WEST  145 STREET,ADDRESS,NEW YORK,EDGECOMBE AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,01/01/2025 12:48:01 AM,09 MANHATTAN,1020510066,MANHATTAN,999671,239033,PHONE,Unspecified,MANHATTAN,,,,,,,,40.82275249590342,-73.94428230822813,"(40.82275249590342, -73.94428230822813)"
63580950,12/31/2024 11:56:35 PM,01/01/2025 12:41:07 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11228,6902 13 AVENUE,13 AVENUE,BAY RIDGE AVENUE,70 STREET,BAY RIDGE AVENUE,70 STREET,ADDRESS,BROOKLYN,13 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:41:10 AM,10 BROOKLYN,3061550040,BROOKLYN,983151,166489,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.62365026944554,-74.00395895687498,"(40.62365026944554, -74.00395895687498)"
63580052,12/31/2024 11:56:27 PM,01/01/2025 09:01:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:02:06 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63572220,12/31/2024 11:56:26 PM,01/01/2025 01:51:27 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11374,61-10 99 STREET,99 STREET,HORACE HARDING EXPRESSWAY,62 AVENUE,HORACE HARDING EXPRESSWAY,62 AVENUE,ADDRESS,REGO PARK,99 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 01:51:31 AM,06 QUEENS,4020930043,QUEENS,1023453,207221,MOBILE,Unspecified,QUEENS,,,,,,,,40.73536354571163,-73.85854116406333,"(40.73536354571163, -73.85854116406333)"
63573264,12/31/2024 11:56:23 PM,01/02/2025 04:30:13 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 04:30:28 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63585372,12/31/2024 11:56:19 PM,01/01/2025 01:43:43 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,66-16 60 LANE,60 LANE,PUTNAM AVENUE,MYRTLE AVENUE LINE,PUTNAM AVENUE,MYRTLE AVENUE LINE,ADDRESS,RIDGEWOOD,60 LANE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 01:43:45 AM,05 QUEENS,4035110051,QUEENS,1012295,196436,MOBILE,Unspecified,QUEENS,,,,,,,,40.70580375999308,-73.89884822508763,"(40.70580375999308, -73.89884822508763)"
63572271,12/31/2024 11:56:00 PM,01/02/2025 07:38:00 PM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10023,57 WEST   76 STREET,WEST   76 STREET,CENTRAL PARK W,COLUMBUS AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,01/02/2025 07:38:00 PM,07 MANHATTAN,1011290002,MANHATTAN,990900,223315,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77962184652088,-73.97598841642105,"(40.77962184652088, -73.97598841642105)"
63580477,12/31/2024 11:56:00 PM,01/01/2025 01:45:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11694,,,,,BEACH 122 STREET,BEACH CHANNEL DRIVE,INTERSECTION,QUEENS,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/01/2025 01:45:00 AM,14 QUEENS,,QUEENS,1027542,151172,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.581502578215854,-73.84414641458724,"(40.581502578215854, -73.84414641458724)"
63582519,12/31/2024 11:55:56 PM,01/01/2025 12:24:06 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,AVENUE C,AVENUE C,AVENUE C,EAST    7 STREET,AVENUE C,EAST    7 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2025 12:24:10 AM,12 BROOKLYN,,BROOKLYN,991946,172834,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64106267533193,-73.9722692600155,"(40.64106267533193, -73.9722692600155)"
63582721,12/31/2024 11:55:46 PM,01/01/2025 01:06:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11375,102-50 62 ROAD,62 ROAD,102 STREET,YELLOWSTONE BOULEVARD,102 STREET,YELLOWSTONE BOULEVARD,ADDRESS,FOREST HILLS,62 ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 01:06:52 AM,06 QUEENS,4021220028,QUEENS,1024315,207122,MOBILE,Unspecified,QUEENS,,,,,,,,40.73508795272568,-73.85543134632108,"(40.73508795272568, -73.85543134632108)"
63579630,12/31/2024 11:55:45 PM,01/02/2025 05:07:27 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:09:42 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63576326,12/31/2024 11:55:41 PM,01/01/2025 09:01:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:45 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63572330,12/31/2024 11:55:23 PM,01/01/2025 12:36:40 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10312,SHOTWELL AVENUE,SHOTWELL AVENUE,SHOTWELL AVENUE,WARING AVENUE,SHOTWELL AVENUE,WARING AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:36:44 AM,03 STATEN ISLAND,,STATEN ISLAND,933766,141353,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.554513350669595,-74.18167180107281,"(40.554513350669595, -74.18167180107281)"
63583329,12/31/2024 11:55:07 PM,01/02/2025 05:07:26 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:10:14 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63572482,12/31/2024 11:55:03 PM,01/01/2025 12:31:49 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10459,911 SIMPSON STREET,SIMPSON STREET,BARRETTO STREET,EAST  163 STREET,BARRETTO STREET,EAST  163 STREET,ADDRESS,BRONX,SIMPSON STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,01/01/2025 12:31:51 AM,02 BRONX,2027230001,BRONX,1013744,238156,MOBILE,Unspecified,BRONX,,,,,,,,40.820309600921924,-73.89343897483273,"(40.820309600921924, -73.89343897483273)"
